Date,Close-Last,Volume,Open,High,Low
2024-03-27,156.35,7416870,154.87,156.44,154.85
2024-03-28,157.74,8331627,157.15,158.19,156.37
2024-04-01,159.08,6285717,158.27,159.5899,156.94
2024-04-02,159.78,8815351,160.05,161.22,159.02
2024-04-03,160.44,7819734,160.1,160.95,159.72
2024-04-04,160.69,9269716,160.8,161.95,159.82
2024-04-05,161.6,7432807,161.33,162.17,159.86
2024-04-08,161.27,7253196,161.65,162.501,160.33
2024-04-09,162,6577437,161.85,162.5316,160.46
2024-04-10,162.67,7525837,162.21,162.77,161.01
2024-04-11,161.89,7682512,163.62,163.62,159.8
2024-04-12,158.96,11071050,162.29,163.87,158.045
2024-04-15,157.59,7236857,159.94,160.4899,157.36
2024-04-16,156.28,5541895,157.3,157.81,155.42
2024-04-17,156.4,6733879,155.99,157.7099,155.64
2024-04-18,157.57,4979193,157.14,158.04,156.39
2024-04-19,160,7734654,158.75,160.75,158.1495
2024-04-22,161.92,6779221,159.95,162.7,158.4403
2024-04-23,162.85,5597617,161.31,162.85,160.6
2024-04-24,163.57,7610335,161.88,163.84,161.446
2024-04-25,165.28,9702581,163.7,165.6,162.67
2024-04-26,165.89,9736350,165.23,166.98,163.3
2024-04-29,166.33,6366752,165.91,167.11,164.69
2024-04-30,161.27,8457341,165.97,166.12,160.95
2024-05-01,159.63,7714962,160.78,161.45,158.9
2024-05-02,160.73,8597124,160.41,161.775,159.89
2024-05-03,160.25,11664510,160.66,160.66,157.04
2024-05-06,162.3,8430277,160.73,164.02,160.73
2024-05-07,162.67,6869948,162.31,163.15,162.02
2024-05-08,162.54,6706361,161.95,163.08,161.5367
2024-05-09,165.45,6683313,163.02,165.51,162.73
2024-05-10,165.82,5490944,166.04,166.42,165.0153
2024-05-13,164.53,6848303,166.48,166.91,162.98
2024-05-14,163.61,4923968,164.34,165.2,163.02
2024-05-15,163.05,7603063,163.13,163.8,160.17
2024-05-16,161.09,6409418,161.53,162,160.48
2024-05-17,162.67,5497919,161.75,162.9679,161.19
2024-05-20,161.14,4913820,162.72,163,161.075
2024-05-21,159.97,4783287,160.58,161.46,159.74
2024-05-22,157.57,6260509,159.52,159.52,156.52
2024-05-23,156.94,6718378,157.92,158.6,156.33
2024-05-24,157.75,4477720,158.08,158.97,157.3
